season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,industry,business_description,company_website,started_in,male_presenters,female_presenters,pitchers_average_age,pitchers_city,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_closed,investment_amount
1,Bluepinefoods,1,1,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Food And Beverage,Frozen Momos,Https://Bluepinefoods.Com/,2016.0,2.0,1.0,Middle,Delhi,95.0,8.0,,,,Nan,,Nan,Nan,Nan,50.0,5.0,1000.0,1,1.0,75.0,16.0,,,469.0,3.0,,0.0,,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.33,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,75.0
1,Boozscooters,1,2,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Vehicles/Electrical Vehicles,Renting E-Bike For Mobility In Private Spaces,Https://Www.Boozup.Net/,2017.0,1.0,,Young,Ahmedabad,4.0,0.4,,,,Nan,,Nan,Nan,Nan,40.0,15.0,267.0,1,1.0,40.0,50.0,,,80.0,2.0,,0.0,,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,40.0
1,Heartupmysleeves,1,3,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Beauty/Fashion,Detachable Sleeves,Https://Heartupmysleeves.Com/,2021.0,,1.0,Young,Delhi,,2.0,,,,Nan,,Nan,Nan,Nan,25.0,10.0,250.0,1,1.0,25.0,30.0,,,83.0,2.0,,0.0,,0.0,0.0,0.0,12.5,15.0,0.0,12.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,25.0
1,Tagzfoods,2,4,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Food And Beverage,Healthy Potato Chips Snacks,Https://Tagzfoods.Com/,2019.0,2.0,,Middle,Bangalore,700.0,,48.0,,,Nan,,Nan,Nan,Nan,70.0,1.0,7000.0,1,1.0,70.0,2.75,,,2545.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.75,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,70.0
1,Headandheart,2,5,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Children/Education,Brain Development Course,Https://Thehnh.In/,2015.0,1.0,3.0,Middle,Patiala,30.0,,,,,Nan,,Nan,Nan,Nan,50.0,5.0,1000.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,0.0
1,Agritourism,2,6,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Agriculture,Tourism,Https://Www.Agritourism.In/,2005.0,1.0,1.0,Middle,Baramati,79.0,,,,,Nan,,Nan,Nan,Nan,50.0,5.0,1000.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,0.0
1,Qzenselabs,3,7,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food And Beverage,Food Freshness Detector,Https://Www.Qzense.Com/,2020.0,,2.0,Middle,"Delhi,Mohali",25.0,15.0,,,,Nan,,Yes,Nan,Nan,100.0,0.25,40000.0,1,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,0.0
1,Peeschute,3,8,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Beauty/Fashion,Disposable Urine Bag,Https://Www.Peeschute.Com/,2019.0,1.0,,Young,Jalna,100.0,,,,,Nan,2.0,Nan,Nan,Nan,75.0,4.0,1875.0,1,1.0,75.0,6.0,,,1250.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,75.0
1,Nocd,3,9,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food And Beverage,Energy Drink,Https://Www.Jouleshealth.Com/,2019.0,2.0,,Middle,Bangalore,,20.0,,,,Nan,,Nan,Nan,Nan,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,,133.0,1.0,,0.0,,0.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,20.0
1,Cosiq,4,10,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Beauty/Fashion,Intelligent Skincare,Https://Mycosiq.Com/,2021.0,1.0,1.0,Middle,Delhi,0.0,4.0,75.0,20.0,,Nan,8.0,Nan,Nan,Nan,50.0,7.5,667.0,1,1.0,50.0,25.0,,,200.0,2.0,,0.0,,0.0,0.0,0.0,25.0,12.5,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,False,50.0
