Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,BluePineFoods,1,1,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Food and Beverage,Frozen Momos,https://bluepinefoods.com/,2016,2,1,Middle,Delhi,95,8,,,,,,,,,50,5,1000,1,1,75,16,,,469,3,,,,,,,25,5.33,,,,,25,5.33,,,,,,,,,,,25,5.33,,Ashneer Grover,Ashneer Grover,1,1,1,1,,,,1
1,BoozScooters,1,2,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017,1,,Young,Ahmedabad,4,0.4,,,,,,,,,40,15,267,1,1,40,50,,,80,2,,,,,,,20,25,,,,,,,,,,,,,,,,,20,25,,Ashneer Grover,Ashneer Grover,1,1,1,1,,,,1
1,HeartUpMySleeves,1,3,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021,,1,Young,Delhi,,2,,,,,,,,,25,10,250,1,1,25,30,,,83,2,,,,,,,12.5,15,,12.5,15,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,TagzFoods,2,4,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Food and Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019,2,,Middle,Bangalore,700,,48,,,,,,,,70,1,7000,1,1,70,2.75,,,2545,1,,,,,,,,,,,,,,,,,,,,,,,,,70,2.75,,Ashneer Grover,Ashneer Grover,1,1,1,1,,,,1
1,HeadAndHeart,2,5,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Children/Education,Brain Development Course,https://thehnh.in/,2015,1,3,Middle,Patiala,30,,,,,,,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,Agritourism,2,6,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Agriculture,Tourism,https://www.agritourism.in/,2005,1,1,Middle,Baramati,79,,,,,,,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,qZenseLabs,3,7,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food and Beverage,Food Freshness Detector,https://www.qzense.com/,2020,,2,Middle,"Delhi,Mohali",25,15,,,,,,yes,,,100,0.25,40000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,Peeschute,3,8,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019,1,,Young,Jalna,100,,,,,,2,,,,75,4,1875,1,1,75,6,,,1250,1,,,,,,,,,,,,,75,6,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,NOCD,3,9,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food and Beverage,Energy Drink,https://www.jouleshealth.com/,2019,2,,Middle,Bangalore,,20,,,,,,,,,50,2,2500,1,1,20,15,30,,133,1,,,,,,,20,15,30,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
1,CosIQ,4,10,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021,1,1,Middle,Delhi,0,4,75,20,,,8,,,,50,7.5,667,1,1,50,25,,,200,2,,,,,,,25,12.5,,25,12.5,,,,,,,,,,,,,,,,,,Ashneer Grover,1,1,1,1,,,,1
